	id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	D1|D1	D1|D2	D2|D1	D2|D2
20	CPI-SC0E83A4B71	COL12A1_integrin_a1b1_complex	simple:Q99715	complex:integrin_a1b1_complex	ENSG00000111799		True	False	False	curated	True	0.25			0.089	
21	CPI-SS0BD9F32BA	LGALS9_DAG1	simple:O00182	simple:Q14118	ENSG00000168961	ENSG00000173402	True	False	True	InnateDB-All	False	0.25		0.087		
22	CPI-SS0A9FB762A	LGALS9_PTPRK	simple:O00182	simple:Q15262	ENSG00000168961	ENSG00000152894	True	False	True	InnateDB-All	False	0.25	0.065			
23	CPI-SC03760D980	COL8A1_integrin_a1b1_complex	simple:P27658	complex:integrin_a1b1_complex	ENSG00000144810		True	False	False	curated	True	0.25			0.03	
24	CPI-SC04BCFC59C	COL1A1_integrin_a2b1_complex	simple:P02452	complex:integrin_a2b1_complex	ENSG00000108821		True	False	False	curated	True	0.5			0.533	0.536
25	CPI-SC08F923F07	FN1_integrin_aVb1_complex	simple:P02751	complex:integrin_aVb1_complex	ENSG00000115414		True	False	False	curated	True	0.5			0.407	0.412
26	CPI-SC09B45FB39	FN1_integrin_aVb5_complex	simple:P02751	complex:integrin_aVb5_complex	ENSG00000115414		True	False	False	curated	True	0.5			0.417	0.412
27	CPI-SC08821B0D2	COL5A1_integrin_a11b1_complex	simple:P20908	complex:integrin_a11b1_complex	ENSG00000130635		True	False	False	curated	True	0.5			0.176	0.184
28	CPI-SC0FB1817EE	COL6A1_integrin_a11b1_complex	simple:P12109	complex:integrin_a11b1_complex	ENSG00000142156		True	False	False	curated	True	0.5			0.14	0.148
29	CPI-SC015ECCD97	COL1A2_integrin_a11b1_complex	simple:P08123	complex:integrin_a11b1_complex	ENSG00000164692		True	False	False	curated	True	0.5			0.374	0.382
30	CPI-SC075489ADB	COL5A2_integrin_a11b1_complex	simple:P05997	complex:integrin_a11b1_complex	ENSG00000204262		True	False	False	curated	True	0.5			0.096	0.105
31	CPI-SC0AE4F5BAB	FN1_integrin_a11b1_complex	simple:P02751	complex:integrin_a11b1_complex	ENSG00000115414		True	False	False	curated	True	0.5			0.407	0.415
32	CPI-SC0C061DC28	COL3A1_integrin_a11b1_complex	simple:P02461	complex:integrin_a11b1_complex	ENSG00000168542		True	False	False	curated	True	0.5			0.465	0.473
33	CPI-SC0C5B4E222	COL6A2_integrin_a11b1_complex	simple:P12110	complex:integrin_a11b1_complex	ENSG00000142173		True	False	False	curated	True	0.5			0.389	0.397
34	CPI-SS036B08188	PLAU_PLAUR	simple:P00749	simple:Q03405	ENSG00000122861	ENSG00000011422	True	False	True	curated	False	0.5	0.15		0.158	
35	CPI-SC084C79E20	COL6A3_integrin_a2b1_complex	simple:P12111	complex:integrin_a2b1_complex	ENSG00000163359		True	False	False	curated	True	0.5			0.171	0.173
36	CPI-SC01A5C5096	COL6A2_integrin_a2b1_complex	simple:P12110	complex:integrin_a2b1_complex	ENSG00000142173		True	False	False	curated	True	0.5			0.384	0.387
37	CPI-SC0681DB40E	COL5A1_integrin_a2b1_complex	simple:P20908	complex:integrin_a2b1_complex	ENSG00000130635		True	False	False	curated	True	0.5			0.171	0.173
38	CPI-SC0CCB0D955	COL6A1_integrin_a2b1_complex	simple:P12109	complex:integrin_a2b1_complex	ENSG00000142156		True	False	False	curated	True	0.5			0.135	0.137
39	CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	ENSG00000060718		True	False	False	curated	True	0.5			0.04	0.042
40	CPI-SC03D0A4AD2	COL1A2_integrin_a2b1_complex	simple:P08123	complex:integrin_a2b1_complex	ENSG00000164692		True	False	False	curated	True	0.5			0.369	0.371
41	CPI-SC0345262E7	COL5A2_integrin_a2b1_complex	simple:P05997	complex:integrin_a2b1_complex	ENSG00000204262		True	False	False	curated	True	0.5			0.091	0.094
42	CPI-SC01D1C56CC	FN1_integrin_a2b1_complex	simple:P02751	complex:integrin_a2b1_complex	ENSG00000115414		True	False	False	curated	True	0.5			0.402	0.404
43	CPI-SC0ABE9B7D2	FBN1_integrin_a5b1_complex	simple:P35555	complex:integrin_a5b1_complex	ENSG00000166147		True	False	False	curated	True	0.5			0.069	0.077
44	CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	ENSG00000123500		True	False	False	curated	True	0.5			0.044	0.046
45	CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	ENSG00000084636		True	False	False	curated	True	0.5			0.09	0.092
46	CPI-SC06A152CC0	COL3A1_integrin_a2b1_complex	simple:P02461	complex:integrin_a2b1_complex	ENSG00000168542		True	False	False	curated	True	0.5			0.46	0.463
47	CPI-SC0B86B7CED	COL12A1_integrin_a2b1_complex	simple:Q99715	complex:integrin_a2b1_complex	ENSG00000111799		True	False	False	curated	True	0.5			0.097	0.099
48	CPI-SC01633DC81	COL16A1_integrin_a11b1_complex	simple:Q07092	complex:integrin_a11b1_complex	ENSG00000084636		True	False	False	curated	True	0.5			0.095	0.103
49	CPI-SC08C485EAE	FN1_integrin_a3b1_complex	simple:P02751	complex:integrin_a3b1_complex	ENSG00000115414		True	False	False	curated	True	0.5			0.407	0.415
50	CPI-SC0B80B8591	THBS1_integrin_a3b1_complex	simple:P07996	complex:integrin_a3b1_complex	ENSG00000137801		False	False	False	curated	True	0.5			0.084	0.092
51	CPI-SC0AD2341AF	COL1A1_integrin_a11b1_complex	simple:P02452	complex:integrin_a11b1_complex	ENSG00000108821		True	False	False	curated	True	0.5			0.538	0.547
52	CPI-SC06C3BA86F	FN1_integrin_a5b1_complex	simple:P02751	complex:integrin_a5b1_complex	ENSG00000115414		True	False	False	curated	True	0.5			0.407	0.415
53	CPI-SC044916391	COL6A3_integrin_a11b1_complex	simple:P12111	complex:integrin_a11b1_complex	ENSG00000163359		True	False	False	curated	True	0.5			0.176	0.184
54	CPI-SS0D4BF6CA3	CD27_CD70	simple:P26842	simple:P32970	ENSG00000139193	ENSG00000125726	True	True	False	curated	False	1.5				
55	CPI-CS09CDFC0C5	IL1_receptor_inhibitor_IL1B	complex:IL1_receptor_inhibitor	simple:P01584		ENSG00000125538	True	True	False	curated	False	1.5				
56	CPI-CS0E5D1ECCE	PlexinA1_complex3_SEMA3A	complex:PlexinA1_complex3	simple:Q14563		ENSG00000075213	True	True	False	curated	False	1.5				
57	CPI-CS093EA33BE	IL1_receptor_IL1B	complex:IL1_receptor	simple:P01584		ENSG00000125538	True	True	False	curated	False	1.5				
58	CPI-CS02C7E2FBB	IL17_receptor_AE_IL17C	complex:IL17_receptor_AE	simple:Q9P0M4		ENSG00000124391	True	True	False	curated	False	1.5				
59	CPI-SS0C23EF34B	NCAM1_GDNF	simple:P13591	simple:P39905	ENSG00000149294	ENSG00000168621	True	True	False	I2D	False	1.5				
60	CPI-CS0B41A1AAE	IL11_receptor_IL11	complex:IL11_receptor	simple:P20809		ENSG00000095752	True	True	False	curated	False	1.5				
61	CPI-CS0D238C22B	PlexinA2_complex1_SEMA3A	complex:PlexinA2_complex1	simple:Q14563		ENSG00000075213	True	True	False	curated	False	1.5				
62	CPI-SS01ECFDA18	TNFRSF10C_TNFSF10	simple:O14798	simple:P50591	ENSG00000173535	ENSG00000121858	True	True	False	curated	False	1.5				
63	CPI-SS0AD0ED887	TNFRSF11B_TNFSF10	simple:O00300	simple:P50591	ENSG00000164761	ENSG00000121858	True	False	False	curated	False	1.5				
64	CPI-SS0179FBFD3	TNFRSF10A_TNFSF10	simple:O00220	simple:P50591	ENSG00000104689	ENSG00000121858	True	True	False	curated	False	1.5				
65	CPI-SS0898D7F7F	TNFRSF10B_TNFSF10	simple:O14763	simple:P50591	ENSG00000120889	ENSG00000121858	True	True	False	curated	False	1.5				
66	CPI-SS0C84DF380	CCR1_CCL15	simple:P32246	simple:Q16663	ENSG00000163823	ENSG00000275718	True	True	False	curated	False	1.5				
67	CPI-SS041751A4D	CCR1_CCL18	simple:P32246	simple:P55774	ENSG00000163823	ENSG00000275385	True	True	False	guidetopharmacology.org	False	1.5				
68	CPI-SS04EE957D8	CCR1_CCL26	simple:P32246	simple:Q9Y258	ENSG00000163823	ENSG00000006606	True	True	False	curated	False	1.5				
69	CPI-CS0AA769F5B	PlexinA3_complex1_SEMA3A	complex:PlexinA3_complex1	simple:Q14563		ENSG00000075213	True	True	False	curated	False	1.5				
70	CPI-CS0AB19226A	PlexinA4_complex1_SEMA3A	complex:PlexinA4_complex1	simple:Q14563		ENSG00000075213	True	True	False	curated	False	1.5				
71	CPI-SS0F15C1AB3	NRP2_SEMA3F	simple:O60462	simple:Q13275	ENSG00000118257	ENSG00000001617	True	True	False	curated	False	1.5				
72	CPI-CS01C6805BA	IL1_receptor_IL1RN	complex:IL1_receptor	simple:P18510		ENSG00000136689	True	True	False	curated	False	1.5				
73	CPI-SS0241A1F57	NRP2_SEMA3C	simple:O60462	simple:Q99985	ENSG00000118257	ENSG00000075223	True	True	False	curated	False	1.5				
74	CPI-CS0A13FF479	IL1_receptor_inhibitor_IL1RN	complex:IL1_receptor_inhibitor	simple:P18510		ENSG00000136689	True	True	False	curated	False	1.5				
75	CPI-SS01D785DBA	FGFR2_FGF23	simple:P21802	simple:Q9GZV9	ENSG00000066468	ENSG00000118972	True	True	False	I2D,IMEx,InnateDB-All,IntAct	False	1.5				
76	CPI-SS07BA4A3B7	FGFR2_FGF8	simple:P21802	simple:P55075	ENSG00000066468	ENSG00000107831	True	True	False	I2D,IMEx,InnateDB-All,IntAct	False	1.5				
77	CPI-SS0E00478B4	NRP2_VEGFA	simple:O60462	simple:P15692	ENSG00000118257	ENSG00000112715	True	True	False	curated	False	1.5				
78	CPI-SS0855C0353	NRP1_PGF	simple:O14786	simple:P49763	ENSG00000099250	ENSG00000119630	True	True	False	curated	False	1.5				
79	CPI-SS0D22A09AD	NRP2_PGF	simple:O60462	simple:P49763	ENSG00000118257	ENSG00000119630	True	True	False	curated	False	1.5				
80	CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	ENSG00000125266	ENSG00000116106	False	True	True	curated	False	1.5				
81	CPI-SS0E61DB5DF	FLT1_PGF	simple:P17948	simple:P49763	ENSG00000102755	ENSG00000119630	True	True	False	curated	False	1.5				
82	CPI-SS033E6DE7E	NRP1_VEGFB	simple:O14786	simple:P49765	ENSG00000099250	ENSG00000173511	True	True	False	curated	False	1.5				
83	CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	ENSG00000184349	ENSG00000116106	False	False	True	curated	False	1.5				
84	CPI-SS0659DBE72	EFNA4_EPHA4	simple:P52798	simple:P54764	ENSG00000243364	ENSG00000116106	True	False	True	curated	False	1.5				
85	CPI-SS05B4EB419	EFNA3_EPHA4	simple:P52797	simple:P54764	ENSG00000143590	ENSG00000116106	False	False	True	curated	False	1.5				
86	CPI-SS0947A8549	FLT1_VEGFB	simple:P17948	simple:P49765	ENSG00000102755	ENSG00000173511	True	True	False	curated	False	1.5				
87	CPI-SS0EBFE1854	EFNA1_EPHA4	simple:P20827	simple:P54764	ENSG00000169242	ENSG00000116106	True	False	True	curated	False	1.5				
88	CPI-SS0E63AB61E	EFNA2_EPHA4	simple:O43921	simple:P54764	ENSG00000099617	ENSG00000116106	False	False	True	curated	False	1.5				
89	CPI-SS0D1AE5C79	FGFR3_EPHA4	simple:P22607	simple:P54764	ENSG00000068078	ENSG00000116106	True	True	True	I2D,InnateDB-All	False	1.5				
90	CPI-SS08083B141	NRP1_SEMA3A	simple:O14786	simple:Q14563	ENSG00000099250	ENSG00000075213	True	True	False	curated	False	1.5				
91	CPI-SS06A0B20BD	FGFR2_EPHA4	simple:P21802	simple:P54764	ENSG00000066468	ENSG00000116106	True	True	True	I2D,InnateDB-All	False	1.5				
92	CPI-SS0883B7EE4	FGFR3_FGF23	simple:P22607	simple:Q9GZV9	ENSG00000068078	ENSG00000118972	True	True	False	I2D	False	1.5				
93	CPI-CS08B606C20	IL7_receptor_IL7	complex:IL7_receptor	simple:P13232		ENSG00000104432	True	True	False	curated	False	1.5				
94	CPI-CS0837F11F9	PlexinA2_complex1_SEMA6A	complex:PlexinA2_complex1	simple:Q9H2E6		ENSG00000092421	False	True	False	curated	False	1.5				
95	CPI-SS064C772FE	CCR10_CCL28	simple:P46092	simple:Q9NRJ3	ENSG00000184451	ENSG00000151882	True	True	False	curated	False	1.5				
96	CPI-SS02EBC1BB0	TNF_NOTCH1	simple:P01375	simple:P46531	ENSG00000232810	ENSG00000148400	True	False	True	I2D	False	1.5				
97	CPI-CS099D829B9	IGF1R_enhancerComGPC3_IGF1	complex:IGF1R_enhancerComGPC3	simple:P05019		ENSG00000017427	True	True	False	curated	False	1.5				
98	CPI-SC00DF4C861	PDGFB_PDGFR_complex	simple:P01127	complex:PDGFR_complex	ENSG00000100311		True	False	True	curated	False	1.5				
99	CPI-SS0FAF4BB9E	DPP4_CCL11	simple:P27487	simple:P51671	ENSG00000197635	ENSG00000172156	True	True	False	curated	False	1.5				
100	CPI-SS0DE0A486F	NRP1_VEGFA	simple:O14786	simple:P15692	ENSG00000099250	ENSG00000112715	True	True	False	curated	False	1.5				
101	CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	ENSG00000197461	ENSG00000134853	True	False	True	curated	False	1.5				
102	CPI-SS0FEEB187C	PDGFB_PDGFRA	simple:P01127	simple:P16234	ENSG00000100311	ENSG00000134853	True	False	True	curated	False	1.5				
103	CPI-SS0CCBF8F8D	NR3C1_CCL11	simple:P04150	simple:P51671	ENSG00000113580	ENSG00000172156	True	True	False	InnateDB	False	1.5				
104	CPI-SS08E13FAF2	ACKR2_CCL11	simple:O00590	simple:P51671	ENSG00000144648	ENSG00000172156	True	True	False	curated	False	1.5				
105	CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	ENSG00000100311	ENSG00000113721	True	False	True	curated	False	1.5				
106	CPI-SS01E4E32AC	C4A_C5AR2	simple:P0C0L4	simple:Q9P296	ENSG00000244731	ENSG00000134830	True	False	True	curated	False	1.5				
107	CPI-SS00F4019EA	C3_C5AR2	simple:P01024	simple:Q9P296	ENSG00000125730	ENSG00000134830	True	False	True	curated	False	1.5				
108	CPI-SS0CB4F2FE4	PDGFB_ADGRV1	simple:P01127	simple:Q8WXG9	ENSG00000100311	ENSG00000164199	True	False	True	InnateDB-All	False	1.5				
109	CPI-SS079E99652	PPARG_CCL11	simple:P37231	simple:P51671	ENSG00000132170	ENSG00000172156	True	True	False	InnateDB	False	1.5				
110	CPI-SS0EF0750A7	HLA-DRB1_OGN	simple:HLADRB1	simple:P20774	ENSG00000196126	ENSG00000106809	True	True	False	InnateDB-All	False	1.5				
111	CPI-SS05834E385	CD40_INSL3	simple:P25942	simple:P51460	ENSG00000101017	ENSG00000248099	True	True	False	I2D	False	1.5				
112	CPI-SS0DBA4D668	DPP4_CXCL12	simple:P27487	simple:P48061	ENSG00000197635	ENSG00000107562	True	True	False	curated	False	1.5				
113	CPI-SS07155793F	ACKR3_CXCL12	simple:P25106	simple:P48061	ENSG00000144476	ENSG00000107562	True	True	False	guidetopharmacology.org	False	1.5				
114	CPI-SS0F8C664D9	CXCR3_CCL20	simple:P49682	simple:P78556	ENSG00000186810	ENSG00000115009	True	True	False	guidetopharmacology.org	False	1.5				
115	CPI-SS003610FF9	CXCR3_CCL19	simple:P49682	simple:Q99731	ENSG00000186810	ENSG00000172724	True	True	False	guidetopharmacology.org	False	1.5				
116	CPI-SS034B442CE	TNF_CELSR2	simple:P01375	simple:Q9HCU4	ENSG00000232810	ENSG00000143126	True	False	True	InnateDB-All	False	1.5				
117	CPI-SS0DEDA3567	TNFSF10_RIPK1	simple:P50591	simple:Q13546	ENSG00000121858	ENSG00000137275	True	False	True	InnateDB-All	False	1.5				
118	CPI-SS04A5D6B6F	DLL1_NOTCH1	simple:O00548	simple:P46531	ENSG00000198719	ENSG00000148400	False	False	True	curated	False	1.5				
119	CPI-SS0B81F1BF5	TNF_SEMA4C	simple:P01375	simple:Q9C0C4	ENSG00000232810	ENSG00000168758	True	False	True	InnateDB-All	False	1.5				
120	CPI-SS0AB21032D	PLXNB2_SEMA4C	simple:O15031	simple:Q9C0C4	ENSG00000196576	ENSG00000168758	False	True	True	curated	False	1.5				
121	CPI-SS09C917D22	TNF_FLT4	simple:P01375	simple:P35916	ENSG00000232810	ENSG00000037280	True	False	True	InnateDB-All	False	1.5				
122	CPI-SS091B461CB	ACKR2_CCL28	simple:O00590	simple:Q9NRJ3	ENSG00000144648	ENSG00000151882	True	True	False	I2D	False	1.5				
123	CPI-SS073B0CE7A	ACKR2_CCL3L1	simple:O00590	simple:P16619	ENSG00000144648	ENSG00000276085	True	True	False	I2D	False	1.5				
124	CPI-SS0AE4CF4E7	ACKR2_CCL5	simple:O00590	simple:P13501	ENSG00000144648	ENSG00000271503	True	True	False	curated	False	1.5				
125	CPI-SS03B8E2D7A	TNF_ICOS	simple:P01375	simple:Q9Y6W8	ENSG00000232810	ENSG00000163600	True	False	True	InnateDB-All	False	1.5				
126	CPI-SS0651A6E1F	TFRC_HFE	simple:P02786	simple:Q30201	ENSG00000072274	ENSG00000010704	True	True	False	curated	False	1.5				
127	CPI-SS0E4B1484B	ICOSLG_ICOS	simple:O75144	simple:Q9Y6W8	ENSG00000160223	ENSG00000163600	True	False	True	curated	False	1.5				
128	CPI-SS04B4619D0	TNF_TNFRSF1A	simple:P01375	simple:P19438	ENSG00000232810	ENSG00000067182	True	False	True	curated	False	1.5				
129	CPI-SS04318D03E	ACKR2_CCL3	simple:O00590	simple:P10147	ENSG00000144648	ENSG00000277632	True	True	False	curated	False	1.5				
130	CPI-SS052C9BB74	NR3C1_CXCL8	simple:P04150	simple:P10145	ENSG00000113580	ENSG00000169429	True	True	False	I2D,InnateDB	False	1.5				
131	CPI-SS03165AD8C	ACKR2_CCL2	simple:O00590	simple:P13500	ENSG00000144648	ENSG00000108691	True	True	False	curated	False	1.5				
132	CPI-SS0A84B95C5	NR3C1_CCL2	simple:P04150	simple:P13500	ENSG00000113580	ENSG00000108691	True	True	False	InnateDB	False	1.5				
133	CPI-SS08B7D54A3	TNF_FAS	simple:P01375	simple:P25445	ENSG00000232810	ENSG00000026103	True	False	True	InnateDB-All	False	1.5				
134	CPI-SS0E7D5974D	TNF_TNFRSF1B	simple:P01375	simple:P20333	ENSG00000232810	ENSG00000028137	True	False	True	curated	False	1.5				
135	CPI-SS048A2311A	TNF_RIPK1	simple:P01375	simple:Q13546	ENSG00000232810	ENSG00000137275	True	False	True	I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT	False	1.5				
136	CPI-SS0AFE077D8	ACKR2_CCL4	simple:O00590	simple:P13236	ENSG00000144648	ENSG00000275302	True	True	False	curated	False	1.5				
137	CPI-CS0A5B6BD7A	12oxoLeukotrieneB4_byPTGR1_LTB4R	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q15722		ENSG00000213903	True	False	True	curated	False	1.5				
138	CPI-CS0168A25C9	Estradiol_byHSD17B1_ESR1	complex:Estradiol_byHSD17B1	simple:P03372		ENSG00000091831	True	False	True	curated	False	1.5				
139	CPI-SS069C5BDB5	ESR1_TFF1	simple:P03372	simple:P04155	ENSG00000091831	ENSG00000160182	True	True	False	InnateDB-All	False	1.5				
140	CPI-SS0D377BBBF	ADCYAP1_DPP4	simple:P18509	simple:P27487	ENSG00000141433	ENSG00000197635	True	False	True	InnateDB-All,MINT	False	1.5				
141	CPI-SS0CDAC688B	CXCL2_DPP4	simple:P19875	simple:P27487	ENSG00000081041	ENSG00000197635	True	False	True	curated	False	1.5				
142	CPI-SS08B249DBA	CCL2_CCR10	simple:P13500	simple:P46092	ENSG00000108691	ENSG00000184451	True	False	True	I2D	False	1.5				
143	CPI-SS0323A2952	INS_LILRB2	simple:P01308	simple:Q8N423	ENSG00000254647	ENSG00000131042	True	False	True	IMEx,IntAct	False	1.5				
144	CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	ENSG00000204642	ENSG00000131042	False	False	True	curated	False	1.5				
145	CPI-SS0DBA81CCF	HLA-G_LILRB2	simple:P17693	simple:Q8N423	ENSG00000204632	ENSG00000131042	False	True	True	curated	False	1.5				
146	CPI-SS0EF2E7F3B	INS_LILRB1	simple:P01308	simple:Q8NHL6	ENSG00000254647	ENSG00000104972	True	False	True	IMEx,IntAct	False	1.5				
147	CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	ENSG00000204642	ENSG00000104972	True	False	True	curated	False	1.5				
148	CPI-SS05CE87F88	HLA-G_LILRB1	simple:P17693	simple:Q8NHL6	ENSG00000204632	ENSG00000104972	True	True	True	curated	False	1.5				
149	CPI-SS05E4B1EBC	INS_INSR	simple:P01308	simple:P06213	ENSG00000254647	ENSG00000171105	True	False	True	curated	False	1.5				
150	CPI-SS0EFE0B07A	CXCL12_CXCR3	simple:P48061	simple:P49682	ENSG00000107562	ENSG00000186810	True	False	True	guidetopharmacology.org	False	1.5				
151	CPI-SS0FAE7ABEF	PYY_DPP4	simple:P10082	simple:P27487	ENSG00000131096	ENSG00000197635	True	False	True	InnateDB-All,MINT	False	1.5				
152	CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	ENSG00000163739	ENSG00000180871	True	False	True	curated	False	1.5				
153	CPI-SS0F562FEA5	CXCL2_CXCR2	simple:P19875	simple:P25025	ENSG00000081041	ENSG00000180871	True	False	True	curated	False	1.5				
154	CPI-SS0C491A3C1	PPBP_CXCR2	simple:P02775	simple:P25025	ENSG00000163736	ENSG00000180871	True	False	True	curated	False	1.5				
155	CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	ENSG00000163734	ENSG00000180871	True	False	True	curated	False	1.5				
156	CPI-SS062DED513	ADCYAP1_VIPR1	simple:P18509	simple:P32241	ENSG00000141433	ENSG00000114812	True	False	True	I2D	False	1.5				
157	CPI-SS0EC70F078	SCT_VIPR1	simple:P09683	simple:P32241	ENSG00000070031	ENSG00000114812	True	False	True	I2D,InnateDB-All	False	1.5				
158	CPI-SS00C33AA55	GIP_GIPR	simple:P09681	simple:P48546	ENSG00000159224	ENSG00000010310	True	False	True	curated	False	1.5				
159	CPI-SS0A9F17199	PYY_NPY1R	simple:P10082	simple:P25929	ENSG00000131096	ENSG00000164128	True	False	True	guidetopharmacology.org	False	1.5				
160	CPI-SS0098B5107	ADCYAP1_SCTR	simple:P18509	simple:P47872	ENSG00000141433	ENSG00000080293	True	False	True	I2D,InnateDB-All	False	1.5				
161	CPI-SS021F26C73	SCT_SCTR	simple:P09683	simple:P47872	ENSG00000070031	ENSG00000080293	True	False	True	curated	False	1.5				
162	CPI-SS0133239EA	ADCYAP1_ADCYAP1R1	simple:P18509	simple:P41586	ENSG00000141433	ENSG00000078549	True	False	True	I2D,IMEx	False	1.5				
163	CPI-SS03969CE88	ESR2_CLCF1	simple:Q92731	simple:Q9UBD9	ENSG00000140009	ENSG00000175505	True	True	False	IMEx,IntAct,MatrixDB	False	1.5				
164	CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	ENSG00000169429	ENSG00000180871	True	False	True	curated	False	1.5				
165	CPI-SS0B02DE712	EGFR_NRG1	simple:P00533	simple:Q02297	ENSG00000146648	ENSG00000157168	True	True	True	I2D,IMEx,InnateDB-All,IntAct	False	1.5				
166	CPI-SS018B35889	GIP_DPP4	simple:P09681	simple:P27487	ENSG00000159224	ENSG00000197635	True	False	True	InnateDB-All,MINT	False	1.5				
167	CPI-SS04641FE5F	CCL3L1_DPP4	simple:P16619	simple:P27487	ENSG00000276085	ENSG00000197635	True	False	True	I2D	False	1.5				
168	CPI-CS058910188	BMR1B_AVR2B_BMP2	complex:BMR1B_AVR2B	simple:P12643		ENSG00000125845	True	True	False	curated	False	1.5				
169	CPI-CS0E54FF657	BMPR1A_BMPR2_BMP4	complex:BMPR1A_BMPR2	simple:P12644		ENSG00000125378	True	True	False	curated	False	1.5				
